Name,Type,Notes
ROUTE LINK,Class,An oriented link between two ROUTE POINTs allowing the definition of a unique path through the network.
POINT ON ROUTE,Class,A ROUTE POINT used to define a ROUTE with its order on that ROUTE.
TURN STATION,Class,"A place (often a terminus) where a vehicle can reverse its direction (from a ROUTE to another of opposite DIRECTION).
"
,Text,
DIRECTION,Class,A classification for the general orientation of ROUTEs.
MODE RESTRICTION ASSESSMENT,Class,Qualification of a ROUTE LINK resulting from the analysis of restrictions concerning the related INFRASTRUCTURE LINKs.
,Text,
,Text,
POINT ON LINE SECTION,Class,Association of a POINT with a COMMON SECTION.
TYPE OF LINE SECTION POINT,Class,"A classification of a POINT ON LINE SECTION to indicate how it should be presented, for example as a main station, optional stop, etc."
,Text,
,Note,"A LINE NETWORK allows the network topology to be assembled as a list of linked sections, which altogether make up a graph. It can be used for example to underpin an interactive map. "
LINE NETWORK,Class,"The topological structure of a NETWORK as a graph of LINE SECTIONs.
NOTE: This allows the branches and loops of a LINE or LINEs to be described as a whole."
,Text,
LINE SECTION,Class,A section of a LINE NETWORK comprising one or more POINTS or LINKS connecting two end points.
,Constraint,Exclusion
,Text,
,Note,"A LINE NETWORK allows the network topology to be assembled as a list of linked sections, which altogether make up aa graph. It can be used for example to underpin an interactive map. "
,Note,"A LINE NETWORK allows the network topology to be described as a mesh of LINE SECTIONS.
A LINK SEQUENCE, can be considered as a sequence of POINTs ON SECTION. A LINE SECTION is a specialisation of LINK SEQUENCE and can similarly be considered as a as a sequence of POINTs ON LINE SECTION.

Additionally a LINE SECTION can specify a set of points in the reverse direction (to cover the case where the points differ in different directions). 
If two LINE SECTIONs reference the same point, they are deemed to be connected at that point.

A POINT ON LINE SECTION may be annotated to indicate it should be presented with particular features, for example as a main station, accessible, etc."
,Note,"A LINE NETWORK allows the network topology to be assembled as a list of linked sections, which altogether make up aa graph. It can be used for example to underpin an interactive map. "
,Text,
FO Parking MODEL,Package,
FO Site MODEL,Package,
FO Vehicle Stopping MODEL,Package,
FO Stop Place MODEL,Package,
FO Point Of Interest MODEL,Package,
FO Equipment Description MODELs,Package,
FO Flexible Stop Place MODEL,Package,
FO Taxi Place MODEL,Package,
FO Site Path MODEL,Package,
FO Vehicle Recharging Point Assignment MODEL,Package,
,Text,
FO Site Navigation MODEL,Package,
,Text,
PATH LINK,Class,"A path within a SITE connecting between any two SITE COMPONENTs (e.g., a STOP PLACE ENTRANCE, ACCESS SPACE, QUAY, BOARDING POSITIONs, etc.), or PATH JUNCTIONs.
NOTE: Each link represents a step in a possible route for pedestrians, cyclists or other out-of-vehicle passengers within or between two places."
,Text,
,Text,
,Text,
,Text,
,Text,
SITE PATH LINK END,Class,"Beginning or end for a SITE PATH LINK, associated with a given SITE ELEMENT, PATH JUNCTION or DECK COMPONENT; may also be linked to a specific LEVEL of a SITE.
"
PATH JUNCTION,Class,"A designated point, inside or outside of a STOP PLACE or POINT OF INTEREST, at which two or more PATH LINKs may connect or branch."
,Note,Also alias as SITE PATH JUNCTION.
,Note,Also alias as SITE PATH LINK
,Note,Also alias as SITE NAVIGATION PATH. 
,Text,
,Note,"NAVIGATION PATH, PATH LINK and PATH LINK JUNCTION can also be used to connect PLACES and POINTs that are not part of a SITE. In this case 
"
,Text,
