Name,Type,Notes
,Note,"E.g., calculating an estimated passing time.
"
,Note,"E.g., vehicle position, speed, doors open"
,Note,"indicates monitored operation (event) concerned such as 
<ul>
	<li>assigning the LOGICAL VEHICLE to a journey (MONITORED VEHICLE JOURNEY)</li>
	<li>the observed passage of a point in a MONITORED VEHICLE JOURNEY (OBSERVED PASSING TIME)</li>
	<li>change of interchange status,</li>
	<li>vehicle coupling</li>
</ul>"
OM Vehicle Monitoring MODEL,Package,
OM Vehicle Detecting MODEL,Package,
OM Monitored Passing Times MODEL,Package,
VEHICLE DETECTING LOG ENTRY,Class,"A record of detected raw real-time data that is recognized to be related with a certain VEHICLE. 
"
VEHICLE DETECTING,Class,"An activity consisting in the identification of a vehicle at a certain time by a detection device and of collecting raw data, such as an absolute location of the vehicle."
,Note,"Vehicle physical position
Vehicle speed
Doors open
Movement through door"
,Note,"Vehicle at point
Vehicle in motion/stopped
Occupancy"
TYPE OF VEHICLE DETECTING,Class,A characterisation of the detection activity.
,Constraint,"exclusion - 
One but only one"
DETECTED OPERATION,Class,"An actual data detected in a VEHICLE DETECTING event, e.g., detection of an actual vehicle coupling, detection of an INCIDENT or detection of an actual relief."
,Text,
VEHICLE MONITORING LOG ENTRY,Class,"A record of computed information describing some aspect of how a certain LOGICAL VEHICLE performs in relation to the latest operation plan based on comparing information from detection devices with operational data.

"
MONITORED SPECIAL SERVICE,Class,A special service that is monitored as being operated by a LOGICAL VEHICLE.
,Constraint,exclusion
,Text,
,Note,"E.g., vehicle coupling, parking, driver relief"
IMPEDED TIME,Class,"The difference between the impeded and non-impeded passage of a LINK.
NOTE: It consists of slow down time, waiting time, and accelerating time."
TYPE OF VEHICLE MONITORING,Class,"The aspect (type of situation) addressed by the monitoring activity.
"
,Note,"E.g., calculating an estimated passing time, noting an observed passing time"
MONITORED VEHICLE JOURNEY,Class,"A journey that is monitored as being operated by a LOGICAL VEHICLE.
NOTE: According to the monitoring system capabilities, a MONITORED VEHICLE JOURNEY may be related to a DATED VEHICLE JOURNEY, or only to a JOURNEY PATTERN."
VEHICLE MONITORING,Class,"An activity consisting in the assignment, at a certain time, of operational data to a monitored LOGICAL VEHICLE (e.g., that the vehicle is operating a certain MONITORED VEHICLE JOURNEY or has passed at a certain OBSERVED PASSING TIME at a POINT)."
MONITORED OPERATION,Class,"Operational data monitored in a VEHICLE MONITORING event (e.g., monitoring a LOGICAL VEHICLE, coupling to others, as operating a planned TRAIN BLOCK). "
,Text,
OBSERVED PASSING TIME,Class,The actual passing of a public transport vehicle at a pre-defined POINT during a MONITORED VEHICLE JOURNEY.
ESTIMATED PASSING TIME,Class,"A time data, calculated from the latest available input, about when a public transport vehicle will pass a particular POINT IN JOURNEY PATTERN on a specified DATED VEHICLE JOURNEY.
NOTE: Mainly used to inform passengers about expected times of arrival and/or departure, but may also be used for monitoring and re-planning."
,Text,
OM Vehicle Control Action MODEL,Package,
OM Generic Control Action MODEL,Package,
OM Interchange Control Action MODEL,Package,
OM Composite Journey Control Action MODEL,Package,
OM Elementary Journey Control Action MODEL,Package,
,Text,
,Text,
CONTROL ACTION,Class,An action resulting from a decision taken by the controller causing an amendment of the operation planned in the PRODUCTION PLAN.
,Text,
,Note,Note that in addition to the control actions shown here there are also Driver Control Actions defined in part 7 that inherit from CONTROL ACTION. 
,Text,
GROUP OF CONTROL ACTIONS,Class,"A grouping of related CONTROL ACTIONs, usually either triggered by one ""master"" CONTROL ACTION (for example the closing of a stop point) or by a SITUATION (weather condition, road traffic, etc.)."
LOGICAL VEHICLE CANCELLATION,Class,A CONTROL ACTION consisting in removing a LOGICAL VEHICLE from the production plan.
VEHICLE ASSIGNMENT,Class,"The assignment, or the cancellation of an assignment, of a physical VEHICLE to a LOGICAL VEHICLE.
NOTE: This assignment may be overridden by a further assignment."
CHANGE OF VEHICLE,Class,"A CONTROL ACTION consisting in removing, at a certain point in time and space, all work assigned to a LOGICAL VEHICLE and of assigning it to another LOGICAL VEHICLE."
VEHICLE CONTROL ACTION,Class,A CONTROL ACTION affecting the LOGICAL VEHICLE.
,Text,
,Text,
VEHICLE WORK ASSIGNMENT,Class,"The assignment, or the cancellation of an assignment, of a physical VEHICLE to a LOGICAL VEHICLE to some planned work, represented as DATED BLOCKs or as DATED VEHICLE JOURNEYs.
NOTE: This assignment may be overridden by a further assignment."
,Constraint,exclusion
LOGICAL VEHICLE CREATION,Class,A CONTROL ACTION consisting in creating a completely new LOGICAL VEHICLE and assigning DATED VEHICLE JOURNEYs to the new LOGICAL VEHICLE.
,Text,
CHANGE OF JOURNEY PATTERN,Class,A CONTROL ACTION consisting in assigning a new JOURNEY PATTERN (and the ROUTE supporting it) to a DATED VEHICLE JOURNEY.
CHANGE OF JOURNEY TIMING,Class,"A CONTROL ACTION consisting in changing one or several characteristics of a DATED VEHICLE JOURNEY, in particular the departure time of the journey."
PARTIAL JOURNEY CANCELLATION,Class,A CONTROL ACTION consisting in assigning a JOURNEY PATTERN that is a subset of the original JOURNEY PATTERN to a DATED VEHICLE JOURNEY; thus specifically expressing that a part of a DATED VEHICLE JOURNEY has been cancelled.
JOURNEY CANCELLATION,Class,A CONTROL ACTION consisting in deleting a DATED VEHICLE JOURNEY from the latest valid plan.
JOURNEY CREATION,Class,A CONTROL ACTION consisting in adding a completely new DATED VEHICLE JOURNEY to the latest valid plan.
ELEMENTARY JOURNEY CONTROL ACTION,Class,A non-composite CONTROL ACTION affecting DATED VEHICLE JOURNEYs.
,Text,
FLEXIBLE JOURNEY ACTIVATION,Class,A CONTROL ACTION consisting in activating a DATED VEHICLE JOURNEY that has a booking pre-condition.
,Text,
DEPARTURE LAG,Class,"A CONTROL ACTION consisting of gradually shifting a set of departures at one POINT.
NOTE: It allows a change of the timetable without abrupt variations in the intervals."
RESPACING,Class,"A CONTROL ACTION to respace departure times at one POINT after a journey or a vehicle has been added or cancelled, in order to preserve the regularity of intervals."
COMPOSITE JOURNEY CONTROL ACTION,Class,A CONTROL ACTION affecting a set of DATED VEHICLE JOURNEYs with a correlated set of adjustments.
DEPARTURE EXCHANGE,Class,A CONTROL ACTION consisting in permuting at one POINT the departure times of two or several DATED VEHICLE JOURNEYs.
,Text,
RESORPTION,Class,"A CONTROL ACTION consisting of progressively resorbing a delay on one DATED VEHICLE JOURNEY by rescheduling the departure times at one POINT of the following journeys.
NOTE: It is a way of maintaining regular intervals after a disturbance on a particular journey."
,Text,
INTERCHANGE CANCELLATION,Class,A CONTROL ACTION consisting in deleting a DATED VEHICLE JOURNEY INTERCHANGE from the latest valid plan so that a distributor DATED VEHICLE JOURNEY no longer needs to wait for a feeder DATED VEHICLE JOURNEY.
,Text,
INTERCHANGE MODIFICATION,Class,A CONTROL ACTION expressing that the duration a distributor DATED VEHICLE JOURNEY needs to wait for a feeder DATED VEHICLE JOURNEY in a DATED VEHICLE JOURNEY INTERCHANGE is changed or that a different DATED VEHICLE JOURNEY is to wait for the feeder.
INTERCHANGE CREATION,Class,A CONTROL ACTION consisting in adding a completely new DATED VEHICLE JOURNEY INTERCHANGE between a feeder DATED VEHICLE JOURNEY and a distributor DATED VEHICLE JOURNEY to the latest valid plan.
INTERCHANGE CONTROL ACTION,Class,A CONTROL ACTION affecting a DATED VEHICLE JOURNEY INTERCHANGE.
CHANGE OF STOP POINT STATUS,Class,"Change of the status of a SCHEDULED STOP POINT, a STOP PLACE or a QUAY, impacting all the DATED VEHICLE JOURNEYs in a certain period of time.
NOTE: This CONTROL ACTION is mainly used for stop closing or opening, and will give rise to further actions such as CHANGE OF JOURNEY PATTERNs or PARTIAL JOURNEY CANCELLATIONs. 
"
OM Operational Event & Incident MODEL,Package,
,Text,
OPERATIONAL EVENT,Class,"Any event affecting the public transport operation (production follow-up, management of information or the technical functioning), occurring at a certain time and that is recorded in the system.
NOTE: An OPERATIONAL EVENT is generally causing a CONTROL ACTION."
ALARM,Class,"An EVENT alerting the staff in charge of operations control on a probable dysfunction: operational threshold exceeded (e.g., delay), emergency call, failure, etc."
VEHICLE INCIDENT,Class,An INCIDENT concerning LOGICAL VEHICLEs.
FACILITY OPERATIONAL EVENT,Class,An OPERATIONAL EVENT concerning a FACILITY.
,Text,
SITE OPERATIONAL EVENT,Class,An OPERATIONAL EVENT applying to a SITE.
DRIVER INCIDENT,Class,An INCIDENT concerning LOGICAL DRIVERs.
INCIDENT,Class,An unforeseen EVENT influencing the operation of the network.
OM Operational Message MODEL,Package,
OPERATIONAL MESSAGE,Class,"An information exchange between an EMPLOYEE (e.g., a controller), a LOGICAL DRIVER or a LOGICAL VEHICLE, used to inform about a CONTROL ACTION or an EVENT."
,Text,
CALL FOR REPAIRS,Class,A MESSAGE of a controller sent to a GARAGE to ask for repair of a VEHICLE.
CALL FOR MEANS,Class,A MESSAGE of a controller sent to a PARKING POINT to ask for the activation of resources in stand-by.
,Note,information about a CONTROL ACTION or an EVENT
,Note,{Exclusion}
,Note,consequence of an EVENT
,Note,Parameters describing the consequences of the situation generally or in relation to involved or indirectly impacted public transport elements. 
,Note,"Public transport elements that are directly involved in the PT SITUATION such as LINE, VEHICLE JOURNEY, STOP PLACE etcetera."
,Text,
,Note,Any event or set of events inducing a change in public transport or traffic operation.
SI Base Situation MODEL,Package,
SI PT Situation MODEL,Package,
SI PT Publication Scope MODEL,Package,
SITUATION SOURCE,Class,A description of the origin of the incident or deviation information.
,Text,
,Text,
,Note,Any event or set of events inducing a change in public transport or traffic operation.
SITUATION REASON,Class,A classification of what caused the SITUATION.
TYPE OF SITUATION SOURCE,Class,A classification of the SITUATION SOURCE.
SITUATION,Class,An incident or deviation affecting traffic or travel circumstances.
RELATED SITUATION,Class,"Association with another SITUATION, typically oneÂ Â that has a relationship of cause or effect or otherwise with the SITUATION.
NOTE: the nature of the relationship can be indicated byÂ Â the TYPE OF SITUATIONÂ Â on the RELATED SITUATION.
"
SITUATION CAUSE,Class,"An event or set of events inducing a change in public transport or traffic operation.
"
METHOD OF CAPTURE,Class,A classification of the method used to acquire knowledge of the deviation or incident.
TYPE OF SITUATION RELATION,Class,"Association with another SITUATION, e that has a relationship of cause or effectÂ Â (or otherwise) with the SITUATION.
NOTE: the nature of the relationship can be indicated byÂ Â the TYPE OF SITUATIONÂ Â on the RELATED SITUATION.
"
SITUATION STATUS,Class,"A classification of the current overall state of processing of the SITUATION, e.g. 'Draft' for not yet published; 'Published' for live SITUATIONs; 'Closed' for completed SITUATIONs.
"
,Note,"Public transport elements that are directly involved in the PT SITUATION such as LINE, VEHICLE JOURNEY, STOP PLACE etcetera."
DELAY,Class,A description of deviations from the public transport timetable.
PT SITUATION MESSAGE,Class,"An information communicated concerning a certain PT SITUATION.
"
,Note,Parameters describing the consequences of the situation generally or in relation to involved or indirectly impacted public transport elements. 
CASUALTIES,Class,A description of the number of persons that have been injured or died.
PT SITUATION GENERAL CONSEQUENCE,Class,A parameter describing a general consequence of a PT SITUATION.
EASEMENT,Class,"A description of temporary (fare) exceptions allowed because of disruptions.
"
PT SITUATION AFFECTED SCOPE,Class,"An extent directly involved in the PT SITUATION expressed using entities such as OPERATORs, NETWORKs, LINEs, SCHEDULED STOP POINTs, STOP PLACEs, PLACEs etc."
,Text,
PT SITUATION CONSEQUENCE SCOPE,Class,"An extent impacted by the PT SITUATION CONSEQUENCE expressed using entities such as LINEs, SERVICE JOURNEYs etc."
TYPE OF DELAY,Class,A classification of the delay.
PT SITUATION CONSEQUENCE,Class,"A description of the consequences of the PT SITUATION, generally or in relation to involved or indirectly impacted public transport elements."
,Text,
PT SITUATION,Class,An incident or deviation affecting the planned PT operation.
,Text,
TYPE OF IMPACT,Class,"A classification of the nature of the impact on the PT SCOPE, i.e., TPEG Pti13 Service Condition values.
."
,Text,
PT SCOPE,Class,"An extent consisting of public transport entities or combinations of entities such as OPERATORs, NETWORKs, LINEs, SCHEDULED STOP POINTs, STOP PLACEs, PLACEs, etc.
"
OM Monitored Facility MODEL,Package,
OM Facility Condition MODEL,Package,
,Note,"replace
repair
remove
etc."
,Text,
PLANNED REMEDY,Class,A pre-prepared REMEDY that could include utilizing an alternative FACILITY as a replacement.
FACILITY STATUS,Class,"A classification of the change of availability of a facility, such as being removed, unavailable or only partially available.
"
,Text,
REMEDY,Class,A general or planned countermeasure to compensate a deviating FACILITY CONDITION. 
FACILITY MONITORING METHOD,Class,"A description of the method and circumstances used to monitor a facility such as if it is manual or automatic, the frequency of monitoring or if it is done at certain times."
FACILITY CONDITION,Class,A changed state of availability affecting a MONITORED FACILITY.
,Note,"replace,
repair,
remove,
etc."
TYPE OF REMEDY,Class,"A classification of the change of availability of a facility, such as being removed, unavailable or only partially available.
"
MONITORED VEHICLE JOURNEY FACILITY,Class,"A monitored named amenity or capability enhancing a VEHICLE JOURNEY.

"
MONITORED VEHICLE EQUIPMENT FACILITY,Class,"A monitored named amenity or capability enabled by ACTUAL VEHICLE EQUIPMENT.
"
MONITORED PLACE EQUIPMENT FACILITY,Class,A monitored named amenity or capability related to a PLACE EQUIPMENT.
,Text,
MONITORED JOURNEY PART FACILITY,Class,"A monitored named amenity or capability enhancing a JOURNEY PART.
"
,Text,
MONITORED FACILITY,Class,"A monitored FACILITY that may have different states of availability.
"
MONITORED LOCAL SERVICE FACILITY,Class,A monitored named amenity or capability related to a LOCAL SERVICE.
,Text,
,Text,
OC Deck Occupancy MODEL,Package,
OC Vehicle Occupancy MODEL,Package,
,Text,
OCCUPANCY COUNT,Class,"A record of occupancy of a given DECK SPACE for a given period.
"
DECK SPACE ACTIVITY COUNT,Class,A record of activity in a DECK SPACE for a given period.
DECK ENTRANCE ACTIVITY COUNT,Class,A record of activity through a DECK ENTRANCE for a given period.
DECK ACTIVITY COUNT,Class,A record of activity of a DECK COMPONENT for a given period.
TYPE OF ACTIVITY COUNT,Class,Classification of ACTIVITY COUNT.
DECK SENSOR ENTRY,Class,A specialisation of LOG ENTRY recording a measurement made for a DECK COMPONENT or an ACTUAL VEHICLE EQUIPMENT by a SENSOR EQUIPMENT.
SPOT OCCUPANCY,Class,A record of activity at a LOCATABLE SPOT at a given time.
,Text,
,Note,"DECK SENSOR ENTRies are for low level data capture from sensors and do not directly reference the VEHICLE / TRAIN ELEMENT TYPE, VEHICLE JOURNEY, SCHEDULED STOP POINT, etc., for which they are recorded. The context of Journeys, stops, can be derived through indirect relationships from DECK SENSOR ENTRY to them."
,Text,
,Text,
VEHICLE OCCUPANCY COUNT,Class,"A record of occupancy of a vehicle and optionally categorized by type of OCCUPANT for a DATED VEHICLE JOURNEY and/or VEHICLE, at or directly after leaving a specified POINT IN JOURNEY PATTERN.
"
VEHICLE ENTRANCE ACTIVITY COUNT,Class,"A record (or estimate) of boarding and alighting activity during the time the entrances are open at a stop, at a DECK ENTRANCE that is used to enter or exit a vehicle.
NOTE: The DECK ENTRANCE may be a PASSENGER ENTRANCE, in which case the count is of passengers, or a DECK VEHICLE ENTRANCE, in which case the count is of vehicles being loaded or unloaded."
VEHICLE LOAD ENTRY,Class,"The observed or estimated load levels for a DATED VEHICLE JOURNEY and/or VEHICLE, at or directly after leaving a specified POINT IN JOURNEY PATTERN."
TYPE OF OCCUPANT,Class,"Classification of VEHICLE OCCUPANCY, e.g., as wheelchair, pram, cycle, etc."
,Note,"Headcounts and ratios can be counted for different types of users and objects; e.g., seated passengers, standing passengers, wheelchairs, prams, cycles, etc."
,Text,
,Note,"SIMPLIFIED VIEW of VEHICLE LOAD ENTRY showing just the elements and attributes equivalent to VDV ""Crowding"".
"
ESTIMATED VEHICLE LOAD ENTRY,Class,"The estimated load levels for a VEHICLE on a journey, at a specified stop."
ESTIMATED VEHICLE OCCUPANCY COUNT,Class,"An estimate of occupancy of a vehicle and optionally categorized by type of OCCUPANT for a DATED VEHICLE JOURNEY and/or VEHICLE, at or directly after leaving a specified POINT IN JOURNEY PATTERN.

"
,Note,"Headcounts and ratios can be counted for different types of users and objects; e.g., seated passengers, standing passengers, wheelchairs, prams, cycles, etc."
,Text,
,Text,
,Text,
SD Sales Description MODELs,Package,Describes packaging and materialisation of Fare products for distribution.
FR Fare Role MODELs,Package,"Describes the roles of actors using or providing fares
"
FP Pricing MODELs,Package,"Describes common Price and pricing components used in the Fare Model
"
ST Customer & Sales Transaction MODELs,Package,Describes customers and the purchases of fare products.
FS Fare Structure Description MODELs,Package,"Describes the FARE STRUCTURE aspect of FAREs.
"
FF Explicit Frame MODELs,Package,Describes the organisation of data elements for data exchange.
FC Validation and Control MODELs,Package,Describes the control and validation of passengers with fare products.
AR Access Rights Description MODELs,Package,"Describes FARE PRODUCTs and their the access rights.
"
,Text,
Fare Management Glossary,Package,
FP Fare Calculation Parameters MODEL,Package,Describes shared pricing parameters used in the Fare Model
FP Fare Table MODEL,Package,"Describes the FARE TABLE components used to organise FARE PRICEs
"
FP Fare Price MODEL,Package,Describes common Price components used in the Fare Model
,Text,
ROUNDING METHOD,Class,A classification of PRICING RULES.
FARE DAY TYPE,Class,"A type of day used in the fare collection domain, characterised by one or more properties which affect the definition of access rights and prices in the fare system."
TYPE OF PRICING RULE,Class,A classification of a PRICING RULE.
LIMITING RULE,Class,A rule for limiting the results of a price calculation.
ROUNDING STEP,Class,"Parameters to determine the rounding value to be used for a given calculation result.
NOTE: If a rounding step table is used, any value equal to or larger than the step key and smaller that the next step key should be rounded to the value indicated for the step value."
,Text,
,Text,
PRICING SERVICE,Class,A web service used to provide prices dynamically at time of booking or purchase.
ROUNDING,Class,Parameters directing the rounding of values that are the result of calculations.
DISCOUNTING RULE,Class,A price calculation rule determined by a discount.
,Text,
PRICING RULE,Class,"A rule used for the calculation of FARE PRICE, determined either by a set of parameters to be applied to a reference price or by a more complex algorithm.
NOTE: PRICING RULEs may be chained together."
PRICE UNIT,Class,"A unit to express prices: amount of currency, abstract fare unit, ticket unit or token etc."
PRICING PARAMETER SET,Class,"<font color=""#0f0f0f"">A set of parameters controlling pricing calculations.</font>"
MONTH VALIDITY OFFSET,Class,"Days before (negative) or after (positive) the start of the month that a product with a calendar period driven activation becomes valid.
"
,Text,
,Text,
,Text,
,Text,
,Text,
PRICE GROUP,Class,"A grouping of prices, allowing the grouping of numerous possible consumption elements into a limited number of price references, or to apply grouped increase, in value or percentage."
FARE PRICE,Class,Price features for a PRICEABLE OBJECT.
PRICEABLE OBJECT,Class,An element which may have a FARE PRICE.
RULE STEP RESULT,Class,"Interim calculation step amounts for any pricing rules applied when deriving one price from another, for example discounts, VAT or other tax amount charged."
,Text,
,Note,"To record exactly how one price has been derived from another one or more RULE STEP RESULTS may be used. Each step records the application of a PRICING RULE to calculate a FARE PRICE from another FARE PRICE and can indicate the result and related parameters.

For example, there may be a base price without tax and a net price with tax.

Rules can be chained to indicate that they should be applied in succession."
,Note,A FARE TABLE is made up of one or more CELLs; each CELL specifies a combination of elements and a price (or that the combination is not allowed). The FARE TABLE itself may be restricted to apply only to certain fare structure elements.
CELL,Class,"A unique individual combination of features within a FARE TABLE, used to associate a FARE PRICE with a fare element."
,Text,
,Text,
,Note,A FARE TABLE is made up of one or more CELLs; each CELL specifies a combination of elements and a price (or that the combination is not allowed). The FARE TABLE itself may be restricted to apply only to certain fare structure elements.
,Text,
,Constraint,exclusion
FARE TABLE,Class,"A grouping of prices that may be associated with various fare elements such as the DISTANCE MATRIX ELEMENT, FARE STRUCTURE ELEMENT, GEOGRAPHICAL INTERVAL or GROUP OF ACCESS RIGHT PARAMETERs.
NOTE: Tables may be nested."
CELL SPECIFIC GROUP,Class,"Specific assignments to other parameters affecting the price of the CELL.
"
,Text,
CELL SPECIFIC ROUTING GROUP,Class,"Specific assignments to routing parameters affecting the price of the CELL.
"
CELL SPECIFIC NETWORK GROUP,Class,"Specific assignments to Network parameters affecting the price of the CELL.
"
CELL SPECIFIC TRANSPORT TYPE GROUP,Class,"Specific assignments to transport type parameters affecting the price of the CELL.
"
CELL SPECIFIC SERVICE GROUP,Class,"Specific assignments to service parameters affecting the price of the CELL.
"
CELL SPECIFIC DISTRIBUTION GROUP,Class,"Specific assignments to distribution parameters affecting the price of the CELL.
"
CELL SPECIFIC EQUIPMENT GROUP,Class,"Specific assignments to equipment parameters affecting the price of the CELL.
"
CELL PRICE,Class,Price features for a CELL
,Text,
PT Parking Tariff MODEL,Package,"Describes Price components used in the Parking Model
"
FZ Fare Zone MODEL,Package,Describes the network related aspects of the FARE STRUCTURE.
FS Fare Structure MODELs,Package,"Describes the detailed FARE STRUCTURE.
"
PARKING CHARGE BAND,Class,Parking charges that describe the cost of using a PARKING or PARKING AREA for a given period.
,Text,
PARKING PRICE,Class,A specialisation of FARE PRICE that defines the price of a PARKING CHARGE BAND.
,Text,
PARKING TARIFF,Class,A set of PARKING CHARGE BANDS that describe the cost of using a PARKING or PARKING AREA. 
,Text,
BORDER POINT,Class,"A POINT on the network marking a boundary for the fare calculation.
NOTE: May or may not be a SCHEDULED STOP POINT."
SERIES CONSTRAINT,Class,"An extension of a DISTANCE MATRIX ELEMENT (a cell of an origin-destination matrix for TARIFF ZONEs or SCHEDULED STOP POINTs) expressing a fare distance for the corresponding trip (value in km, number of fare units, etc.), constrained to specific routes.
NOTE: SERIES CONSTRAINTs are mainly used for rail fares. "
FARE SCHEDULED STOP POINT,Class,A specialisation of SCHEDULED STOP POINT describing a stop with fare accounting and routing characteristics.
SERIES CONSTRAINT PRICE,Class,A set of all possible price features of a SERIES CONSTRAINT: default total price etc.
,Text,
TYPE OF SERIES CONSTRAINT,Class,A classification of a SERIES CONSTRAINT.
FARE ZONE,Class,A specialization of TARIFF ZONE to include FARE SECTIONs.
,Text,
TYPE OF ROUTING,Class,"A classification of the ROUTING, e.g., direct, indirect; may be used to choose pricing criteria."
FARE SECTION,Class,"A subdivision of a JOURNEY PATTERN consisting of consecutive POINTs IN JOURNEY PATTERN, used to define an element of the fare structure."
,Text,
FARE POINT IN JOURNEY PATTERN,Class,"A POINT IN JOURNEY PATTERN which represents the start or end of a FARE SECTION, or a point used to define a SERIES CONSTRAINT."
ZONE IN SERIES,Class,"Use of a ZONE in an ordered sequence within a SERIES CONSTRAINT, for example to indicate that a series must route through a given sequence of TARIFF ZONEs."
FS Quality Fare Structure MODEL,Package,"Describes quality and quota based elements used in the FARE STRUCTURE.
"
FS Time Fare Structure MODEL,Package,"Describes temporal elements used in the FARE STRUCTURE.
"
FS Fare Structure Element MODEL,Package,"Describes structural elements used to define the allowed sequence of use of the FARE STRUCTURE.
"
FS Validable Element MODEL,Package,Describes structural elements used to manage the control and validation processes. 
FS Distance Matrix Element MODEL,Package,"Describes elements used to define point to point and zone to zone fares structures.
"
FS Geographical Fare Structure MODEL,Package,"Describes spatial elements used in the FARE STRUCTURE.
"
FS Common Fare Structure MODEL,Package,"Describes generic abstract elements used in the FARE STRUCTURE.
"
,Text,
,Text,
FARE UNIT,Class,A unit associated with a FARE STRUCTURE FACTOR.
FARE INTERVAL,Class,An interval-based aspect of the fare structure.
,Text,
,Text,
FARE ELEMENT IN SEQUENCE,Class,"A part of an access right, including its possible order in the sequence of elementary access rights.
"
FARE STRUCTURE FACTOR,Class,A factor influencing access rights definition or calculation of prices.
,Constraint,exclusion
,Constraint,exclusion
,Constraint,exclusion
,Constraint,exclusion
,Constraint,exclusion
,Constraint,exclusion
GEOGRAPHICAL INTERVAL PRICE,Class,"A set of all possible price features of a GEOGRAPHICAL INTERVAL: default total price, etc."
GEOGRAPHICAL INTERVAL,Class,"A geographical interval specifying access rights for the FARE STRUCTURE ELEMENTs within the range of this interval: 0-5 km, 4-6 zones etc."
,Text,
,Constraint,exclusion
,Constraint,exclusion
GEOGRAPHICAL UNIT PRICE,Class,A set of all possible price features of a GEOGRAPHICAL UNIT: default total price etc.
,Constraint,exclusion
,Text,
GEOGRAPHICAL STRUCTURE FACTOR,Class,The value of a GEOGRAPHICAL INTERVAL or a DISTANCE MATRIX ELEMENT expressed by a GEOGRAPHICAL UNIT.
GEOGRAPHICAL UNIT,Class,A unit for calculating geographical graduated fares.
,Text,
GROUP OF DISTANCE MATRIX ELEMENTS,Class,"A grouping of DISTANCE MATRIX ELEMENTS.
NOTE: May be used to provide reusable sets of Origin / Destination pairs."
,Text,
,Constraint,Exclusion
,Text,
DISTANCE MATRIX ELEMENT,Class,"A cell of an origin-destination matrix for TARIFF ZONEs or SCHEDULED STOP POINTs, expressing a fare distance for the corresponding trip: value in km, number of fare units etc."
DISTANCE MATRIX ELEMENT PRICE,Class,A set of all possible price features of a DISTANCE MATRIX ELEMENT: default total price etc.
,Constraint,Exclusion
,Text,
TIME UNIT PRICE,Class,A set of all possible price features of a TIME UNIT: default total price etc.
TIME STRUCTURE FACTOR,Class,The value of a TIME INTERVAL expressed by a TIME UNIT.
,Text,
TIME INTERVAL PRICE,Class,"A set of all possible price features of a TIME INTERVAL, e.g., default total price, etc."
,Text,
TIME INTERVAL,Class,"A time-based interval specifying access rights for the FARE STRUCTURE ELEMENTs within the range of this interval: 0-1 hour, 1-3 days etc."
,Constraint,exclusion
TIME UNIT,Class,A unit for calculating time-based graduated fares.
QUALITY STRUCTURE FACTOR,Class,"A factor influencing access rights definition or calculation of prices, based on the quality: traffic congestion threshold, early/late reservation etc."
FARE DEMAND FACTOR,Class,"A named set of parameters defining a period of travel with a given price, for example off peak, peak, super off peak, etc. "
,Text,
FARE QUOTA FACTOR,Class,A named set of parameters defining a number of quota fares available of a given denomination.
,Text,
QUALITY STRUCTURE FACTOR PRICE,Class,"A set of all possible price features of a QUALITY STRUCTURE FACTOR, e.g., default total price, etc."
START TIME AT STOP POINT,Class,"A time at which a fare time band (peak, off peak, etc.) is deemed to begin for trips starting at a particular station."
,Text,
FARE STRUCTURE ELEMENT,Class,A sequence or set of CONTROLLABLE ELEMENTs to which rules for limitation of access rights and calculation of prices (fare structure) are applied.
,Text,
,Text,
TYPE OF TARIFF,Class,A classification of TARIFFs to express the different classes of fares.
FARE STRUCTURE ELEMENT PRICE,Class,"A set of all possible price features of a FARE STRUCTURE ELEMENT: default total price, discount in value or percentage etc."
FARE STRUCTURE ELEMENT IN SEQUENCE,Class,"A FARE STRUCTURE ELEMENT as a part of a VALIDABLE ELEMENT, including its possible order in the sequence of FARE STRUCTURE ELEMENTs forming that VALIDABLE ELEMENT, and its possible quantitative limitation."
TARIFF,Class,"A particular tariff, described by a combination of parameters."
,Text,
,Text,
TYPE OF FARE STRUCTURE ELEMENT,Class,A classification of FARE STRUCTURE ELEMENT to indicate the nature of its use.
CONTROLLABLE ELEMENT PRICE,Class,"A set of all possible price features of a CONTROLLABLE ELEMENT: default total price, discount in value or percentage etc."
CONTROLLABLE ELEMENT IN SEQUENCE,Class,"A CONTROLLABLE ELEMENT as a part of a FARE STRUCTURE ELEMENT, including its possible order in the sequence of CONTROLLABLE ELEMENTs grouped together to form that FARE STRUCTURE ELEMENT, and its possible quantitative limitation."
,Text,
,Text,
VALIDABLE ELEMENT PRICE,Class,"A set of all possible price features of a VALIDABLE ELEMENT: default total price, discount in value or percentage etc."
VALIDABLE ELEMENT,Class,"A sequence or set of FARE STRUCTURE ELEMENTs, grouped together to be validated in one go."
CONTROLLABLE ELEMENT,Class,"The smallest controllable element of public transport consumption, all along which any VALIDITY PARAMETER ASSIGNMENT remains valid."
,Text,
,Text,
,Text,
AR Fare Product MODEL,Package,"Describes core Fare product elements.
"
AR Access Right Parameter MODELs ,Package,"Describes the access rights to Fare products.
"
AR Types of Fare Product MODEL ,Package,"Describes different types of Fare product.
"
CHARGING MOMENT,Class,"A classification of FARE PRODUCTs according to the payment method and the account location: pre-payment with cancellation (throw-away), pre-payment with debit on a value card, pre-payment without consumption registration (pass), post-payment etc."
,Text,
FARE PRODUCT PRICE,Class,"A set of all possible price features of a FARE PRODUCT: default total price, discount in value or percentage etc."
,Text,
